"A		H_hor		A_sun(w)		H_sun(w)		A_sun(s)		H_sun(s)"
"-180.0		6.5		-0.0		0.0		-180.0		0.0"
"-172.5		6.1		-79.5		0.0		-170.5		0.0"
"-165.0		6.1		-82.5		0.0		-161.4		0.0"
"-157.5		4.6		-82.6		0.0		-153.0		0.0"
"-150.0		5.0		-81.8		0.0		-145.6		0.0"
"-142.5		5.3		-80.7		0.0		-139.1		0.0"
"-135.0		6.1		-79.4		0.0		-133.5		0.0"
"-127.5		5.7		-77.9		0.0		-128.6		0.0"
"-120.0		5.0		-76.3		0.0		-124.3		0.0"
"-112.5		3.4		-74.5		0.0		-120.6		0.0"
"-105.0		4.2		-72.6		0.0		-117.3		0.0"
"-97.5		5.0		-70.5		0.0		-114.5		2.3"
"-90.0		5.3		-68.1		0.0		-111.9		8.7"
"-82.5		7.6		-65.5		0.0		-109.5		15.2"
"-75.0		8.4		-62.7		3.9		-107.4		21.8"
"-67.5		7.6		-59.4		10.0		-105.5		28.4"
"-60.0		7.6		-55.7		15.8		-103.7		35.1"
"-52.5		7.6		-51.4		21.4		-102.1		41.9"
"-45.0		5.0		-46.5		26.7		-100.6		48.7"
"-37.5		3.8		-40.9		31.5		-99.3		55.5"
"-30.0		1.9		-34.4		35.7		-98.2		62.4"
"-22.5		1.1		-27.0		39.2		-97.4		69.3"
"-15.0		0.8		-18.6		41.9		-97.5		76.1"
"-7.5		0.8		-9.5		43.6		-100.5		83.0"
"0.0		0.4		0.0		44.2		180.0		88.9"
"7.5		0.0		9.5		43.6		100.5		83.0"
"15.0		0.4		18.6		41.9		97.5		76.1"
"22.5		0.8		27.0		39.2		97.4		69.3"
"30.0		0.8		34.4		35.7		98.2		62.4"
"37.5		1.5		40.9		31.5		99.3		55.5"
"45.0		1.9		46.5		26.7		100.6		48.7"
"52.5		1.5		51.4		21.4		102.1		41.9"
"60.0		1.9		55.7		15.8		103.7		35.1"
"67.5		1.9		59.4		10.0		105.5		28.4"
"75.0		1.5		62.7		3.9		107.4		21.8"
"82.5		2.3		65.5		0.0		109.5		15.2"
"90.0		2.3		68.1		0.0		111.9		8.7"
"97.5		2.3		70.5		0.0		114.5		2.3"
"105.0		3.4		72.6		0.0		117.3		0.0"
"112.5		4.6		74.5		0.0		120.6		0.0"
"120.0		4.6		76.3		0.0		124.3		0.0"
"127.5		5.3		77.9		0.0		128.6		0.0"
"135.0		5.3		79.4		0.0		133.5		0.0"
"142.5		5.7		80.7		0.0		139.1		0.0"
"150.0		5.7		81.8		0.0		145.6		0.0"
"157.5		5.7		82.6		0.0		153.0		0.0"
"165.0		5.7		82.5		0.0		161.4		0.0"
"172.5		6.1		79.5		0.0		170.5		0.0"
"180.0		6.5		0.0		0.0		180.0		0.0"
